item,age,numbids,price,age_bid
1,127,13,1235,1651
2,115,12,1080,1380
3,127,7,845,889
4,150,9,1522,1350
5,156,6,1047,936
6,182,11,1979,2002
7,156,12,1822,1872
8,132,10,1253,1320
9,137,9,1297,1233
10,113,9,946,1017
11,137,15,1713,2055
12,117,11,1024,1287
13,137,8,1147,1096
14,153,6,1092,918
15,117,13,1152,1521
16,126,10,1336,1260
17,170,14,2131,2380
18,182,8,1550,1456
19,162,11,1884,1782
20,184,10,2041,1840
21,143,6,845,858
22,159,9,1483,1431
23,108,14,1055,1512
24,175,8,1545,1400
25,108,6,729,648
26,179,9,1792,1611
27,111,15,1175,1665
28,187,8,1593,1496
29,111,7,785,777
30,115,7,744,805
31,194,5,1356,970
32,168,7,1262,1176
