WINNDIX,PUBLIX
1.21,1.49
0.55,0.67
2.99,3.59
1.29,1.29
1.29,1.79
1.59,2.39
0.96,0.97
2.78,2.99
2.29,1.89
0.79,0.89
1.36,1.61
1.18,1.29
1.39,1.79
2.09,2.19
0.99,1.19
1.46,1.75
1.29,1.69
2.59,2.29
1.05,1.25
0.77,0.81
1.74,2.15
1.09,1.05
0.89,0.99
0.97,1.19
1.13,1.37
0.58,0.65
2.09,2.69
2.95,3.25
3.09,3.95
2.28,2.97
0.79,1.29
1.98,2.19
0.79,1.13
2.07,2.17
1.59,1.89
0.70,0.87
1.17,1.15
1.39,2.03
0.44,0.49
0.98,1.33
1.07,1.13
0.69,0.89
0.53,1.15
0.79,1.29
1.09,1.30
2.33,2.39
0.45,0.56
1.22,1.75
2.39,3.19
1.08,1.33
3.58,3.79
3.49,3.79
5.98,5.29
1.88,2.20
2.88,3.14
3.44,3.98
1.50,1.89
0.98,1.15
5.00,5.24
0.94,1.10
